"id","codimuni","nommuni","areaofi","areapol","codicomar","codiprov","validde","dataalta","habitants","altitud","nomcomar"
798,"430350","Cabacés",NULL,"31.2285","29","43",NULL,"201707262100",342,358,"Priorat"
799,"430363","Cabra del Camp",NULL,"27.0268","01","43",NULL,"201707262100",944,493,"Alt Camp"
800,"430379","Calafell",NULL,"20.3065","12","43",NULL,"201707262100",20521,67,"Baix Penedès"
801,"430385","Cambrils",NULL,"35.2088","08","43",NULL,"201707262100",27848,24,"Baix Camp"
802,"430398","Capafonts",NULL,"13.3536","08","43",NULL,"201707262100",114,751,"Baix Camp"
803,"430402","Capçanes",NULL,"22.2295","29","43",NULL,"201707262100",408,223,"Priorat"
804,"430419","Caseres",NULL,"42.5211","37","43",NULL,"201707262100",311,324,"Terra Alta"
805,"430424","Castellvell del Camp","5.1713","5.1713","08","43","20160505","201707262100",2474,219,"Baix Camp"
806,"430430","el Catllar",NULL,"26.3405","36","43",NULL,"201801011500",3519,59,"Tarragonès"
807,"430445","la Sénia",NULL,"108.8745","22","43",NULL,"201707262100",5976,369,"Montsià"
808,"430458","Colldejou",NULL,"14.4175","08","43",NULL,"201707262100",190,431,"Baix Camp"
809,"430461","Conesa","29.0404","29.0404","16","43","20170426","201707262100",141,705,"Conca de Barberà"
810,"430477","Constantí",NULL,"31.0365","36","43",NULL,"201801011500",5813,81,"Tarragonès"
811,"430483","Corbera d'Ebre",NULL,"53.0768","37","43",NULL,"201707262100",1128,337,"Terra Alta"
812,"430496","Cornudella de Montsant",NULL,"62.9169","29","43",NULL,"201707262100",979,533,"Priorat"
813,"430509","Creixell",NULL,"10.3628","36","43",NULL,"201707262100",2758,48,"Tarragonès"
814,"430516","Cunit",NULL,"9.7674","12","43",NULL,"201707262100",10033,10,"Baix Penedès"
815,"430521","Xerta",NULL,"32.4205","09","43",NULL,"201707262100",1278,12,"Baix Ebre"
816,"430537","Duesaigües",NULL,"13.5822","08","43",NULL,"201707262100",211,268,"Baix Camp"
817,"430542","l'Espluga de Francolí",NULL,"56.5179","16","43",NULL,"201707262100",3857,411,"Conca de Barberà"
818,"430555","Falset",NULL,"31.8485","29","43",NULL,"201707262100",2717,364,"Priorat"
819,"430568","la Fatarella",NULL,"56.7379","37","43",NULL,"201707262100",1160,487,"Terra Alta"
820,"430574","la Febró",NULL,"16.0565","08","43",NULL,"201707262100",58,754,"Baix Camp"
821,"430580","la Figuera",NULL,"18.9171","29","43",NULL,"201707262100",165,576,"Priorat"
822,"430593","Figuerola del Camp",NULL,"22.4595","01","43",NULL,"201707262100",336,474,"Alt Camp"
823,"430607","Flix",NULL,"116.8847","30","43",NULL,"201707262100",3960,47,"Ribera d'Ebre"
824,"430614","Forès","16.1481","16.1481","16","43","20170426","201707262100",57,866,"Conca de Barberà"
825,"430629","Freginals",NULL,"17.4445","22","43",NULL,"201707262100",444,126,"Montsià"
826,"430635","la Galera",NULL,"27.4056","22","43",NULL,"201707262100",824,112,"Montsià"
827,"430640","Gandesa",NULL,"71.3024","37","43",NULL,"201707262100",3091,363,"Terra Alta"
828,"430653","Garcia",NULL,"52.2597","30","43",NULL,"201707262100",534,73,"Ribera d'Ebre"
829,"430666","els Garidells",NULL,"3.0076","01","43",NULL,"201707262100",196,132,"Alt Camp"
830,"430672","Ginestar",NULL,"15.6375","30","43",NULL,"201707262100",965,26,"Ribera d'Ebre"
831,"430688","Godall",NULL,"33.9097","22","43",NULL,"201707262100",771,168,"Montsià"
832,"430691","Gratallops",NULL,"13.494","29","43",NULL,"201707262100",246,321,"Priorat"
833,"430705","els Guiamets",NULL,"11.8906","29","43",NULL,"201707262100",330,226,"Priorat"
834,"430712","Horta de Sant Joan",NULL,"119.2286","37","43",NULL,"201707262100",1238,542,"Terra Alta"
835,"430727","el Lloar",NULL,"6.6665","29","43",NULL,"201707262100",111,219,"Priorat"
836,"430733","Llorac","23.1376","23.1376","16","43","20150730","201707262100",116,648,"Conca de Barberà"
837,"430748","Llorenç del Penedès",NULL,"4.6812","12","43",NULL,"201707262100",2073,162,"Baix Penedès"
838,"430751","Margalef",NULL,"34.7588","29","43",NULL,"201707262100",128,379,"Priorat"
839,"430764","Marçà",NULL,"16.0854","29","43",NULL,"201707262100",653,315,"Priorat"
840,"430770","Mas de Barberans",NULL,"78.882","22","43",NULL,"201707262100",679,348,"Montsià"
